subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
07	 1	 2	 18	 51	 64	 13	 2.590000e+00	 15	 65	 6.877180e+04	 6.877436e+04	 6.877799e+04	 6.878039e+04	 NaN	 
07	 2	 2	 41	 56	 67	 11	 1.690000e+00	 15	 65	 6.878141e+04	 6.878527e+04	 6.878797e+04	 6.879045e+04	 NaN	 
07	 3	 2	 78	 65	 69	 4	 1.940000e+00	 15	 65	 6.879147e+04	 6.879349e+04	 6.879644e+04	 6.879855e+04	 NaN	 
07	 4	 2	 60	 67	 55	 -12	 2.100000e+00	 15	 65	 6.879957e+04	 6.880471e+04	 6.880782e+04	 6.881007e+04	 NaN	 
07	 5	 2	 60	 55	 61	 6	 2.060000e+00	 15	 65	 6.881110e+04	 6.881670e+04	 6.881977e+04	 6.882218e+04	 NaN	 
07	 6	 2	 63	 55	 20	 -35	 1.900000e+00	 5	 35	 6.882320e+04	 6.883069e+04	 6.883360e+04	 6.883719e+04	 NaN	 
07	 7	 2	 82	 30	 50	 20	 2.750000e+00	 5	 35	 6.883822e+04	 6.884449e+04	 6.884824e+04	 6.885087e+04	 NaN	 
07	 8	 2	 70	 46	 42	 -4	 2.010000e+00	 5	 35	 6.885190e+04	 6.885412e+04	 6.885714e+04	 6.885969e+04	 NaN	 
07	 9	 2	 87	 52	 5	 -47	 2.040000e+00	 5	 35	 6.886071e+04	 6.886623e+04	 6.886928e+04	 6.887232e+04	 NaN	 
07	 10	 2	 50	 10	 61	 51	 2.260000e+00	 5	 35	 6.887333e+04	 6.887645e+04	 6.887972e+04	 6.888311e+04	 NaN	 
07	 11	 2	 1	 51	 60	 9	 2.740000e+00	 5	 35	 6.888413e+04	 6.888538e+04	 6.888913e+04	 6.889201e+04	 NaN	 
07	 12	 2	 13	 54	 69	 15	 2.980000e+00	 15	 65	 6.889303e+04	 6.889740e+04	 6.890139e+04	 6.890357e+04	 NaN	 
07	 13	 2	 40	 65	 66	 1	 2.530000e+00	 15	 65	 6.890459e+04	 6.890919e+04	 6.891272e+04	 6.891653e+04	 NaN	 
07	 14	 2	 100	 59	 28	 -31	 1.750000e+00	 15	 65	 6.891754e+04	 6.891940e+04	 6.892215e+04	 6.892453e+04	 NaN	 
07	 15	 2	 39	 28	 36	 8	 2.050000e+00	 15	 65	 6.892553e+04	 6.892714e+04	 6.893020e+04	 6.893255e+04	 NaN	 
07	 16	 2	 65	 79	 23	 -56	 2.130000e+00	 15	 65	 6.893357e+04	 6.893794e+04	 6.894108e+04	 6.894361e+04	 NaN	 
07	 17	 2	 29	 36	 40	 4	 2.630000e+00	 15	 65	 6.894464e+04	 6.895270e+04	 6.895634e+04	 6.895982e+04	 NaN	 
07	 18	 2	 44	 50	 47	 -3	 1.540000e+00	 5	 35	 6.896084e+04	 6.896392e+04	 6.896647e+04	 6.896891e+04	 NaN	 
07	 19	 2	 33	 53	 57	 4	 2.290000e+00	 5	 35	 6.896992e+04	 6.897307e+04	 6.897637e+04	 6.898001e+04	 NaN	 
07	 20	 2	 5	 NaN	 72	 NaN	 3.510000e+00	 5	 35	 6.898103e+04	 6.898255e+04	 NaN	 NaN	 6.898707e+04	 
07	 21	 2	 37	 52	 63	 11	 1.410000e+00	 5	 35	 6.898861e+04	 6.898971e+04	 6.899212e+04	 6.899614e+04	 NaN	 
07	 22	 2	 54	 62	 65	 3	 1.400000e+00	 5	 35	 6.899716e+04	 6.900371e+04	 6.900612e+04	 6.900963e+04	 NaN	 
07	 23	 2	 59	 64	 65	 1	 1.620000e+00	 15	 65	 6.901065e+04	 6.901246e+04	 6.901509e+04	 6.901719e+04	 NaN	 
07	 24	 2	 34	 67	 64	 -3	 2.440000e+00	 15	 65	 6.901821e+04	 6.902024e+04	 6.902369e+04	 6.902593e+04	 NaN	 
07	 25	 2	 63	 59	 59	 0	 1.520000e+00	 15	 65	 6.902695e+04	 6.902898e+04	 6.903151e+04	 6.903418e+04	 NaN	 
07	 26	 2	 40	 39	 34	 -5	 2.010000e+00	 15	 65	 6.903519e+04	 6.903641e+04	 6.903942e+04	 6.904166e+04	 NaN	 
07	 27	 2	 97	 19	 17	 -2	 2.020000e+00	 15	 65	 6.904267e+04	 6.904431e+04	 6.904734e+04	 6.905013e+04	 NaN	 
07	 28	 2	 51	 1	 53	 52	 2.180000e+00	 15	 65	 6.905115e+04	 6.905887e+04	 6.906206e+04	 6.906413e+04	 NaN	 
07	 29	 2	 33	 83	 35	 -48	 2.310000e+00	 5	 35	 6.906514e+04	 6.906658e+04	 6.906991e+04	 6.907314e+04	 NaN	 
07	 30	 2	 92	 30	 26	 -4	 2.570000e+00	 5	 35	 6.907416e+04	 6.907906e+04	 6.908264e+04	 6.908515e+04	 NaN	 
07	 31	 2	 100	 21	 13	 -8	 2.370000e+00	 5	 35	 6.908617e+04	 6.908776e+04	 6.909114e+04	 6.909365e+04	 NaN	 
07	 32	 2	 58	 11	 58	 47	 2.260000e+00	 5	 35	 6.909467e+04	 6.909653e+04	 6.909979e+04	 6.910226e+04	 NaN	 
07	 33	 2	 14	 58	 66	 8	 1.950000e+00	 15	 65	 6.910327e+04	 6.910553e+04	 6.910849e+04	 6.911090e+04	 NaN	 
07	 34	 2	 11	 69	 75	 6	 2.260000e+00	 15	 65	 6.911191e+04	 6.911379e+04	 6.911706e+04	 6.911964e+04	 NaN	 
07	 35	 2	 39	 74	 73	 -1	 2.270000e+00	 15	 65	 6.912065e+04	 6.912432e+04	 6.912761e+04	 6.912984e+04	 NaN	 
07	 36	 2	 46	 74	 68	 -6	 2.280000e+00	 15	 65	 6.913085e+04	 6.913334e+04	 6.913662e+04	 6.913932e+04	 NaN	 
07	 37	 2	 75	 74	 65	 -9	 1.450000e+00	 5	 35	 6.914033e+04	 6.914228e+04	 6.914474e+04	 6.914692e+04	 NaN	 
07	 38	 2	 85	 48	 32	 -16	 1.830000e+00	 5	 35	 6.914794e+04	 6.915084e+04	 6.915367e+04	 6.915766e+04	 NaN	 
07	 39	 2	 28	 13	 65	 52	 1.770000e+00	 5	 35	 6.915868e+04	 6.916057e+04	 6.916334e+04	 6.916569e+04	 NaN	 
07	 40	 2	 21	 89	 44	 -45	 2.150000e+00	 5	 35	 6.916671e+04	 6.917805e+04	 6.918121e+04	 6.918342e+04	 NaN	 
07	 41	 2	 98	 28	 38	 10	 2.080000e+00	 5	 35	 6.918443e+04	 6.918683e+04	 6.918992e+04	 6.919258e+04	 NaN	 
07	 42	 2	 45	 52	 30	 -22	 1.440000e+00	 5	 35	 6.919360e+04	 6.919851e+04	 6.920096e+04	 6.920441e+04	 NaN	 
