subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
07	 1	 1	 13	 45	 77	 32	 2.040000e+00	 5	 65	 6.931312e+04	 6.931465e+04	 6.931771e+04	 6.931995e+04	 NaN	 6.930806e+04	 
07	 2	 1	 27	 78	 60	 -18	 2.050000e+00	 5	 65	 6.932097e+04	 6.932588e+04	 6.932894e+04	 6.933284e+04	 NaN	 6.930806e+04	 
07	 3	 1	 65	 51	 95	 44	 2	 5	 65	 6.933386e+04	 6.934519e+04	 6.934821e+04	 6.935183e+04	 NaN	 6.930806e+04	 
07	 4	 1	 100	 61	 87	 26	 2.570000e+00	 5	 65	 6.935285e+04	 6.935670e+04	 6.936028e+04	 6.936247e+04	 NaN	 6.930806e+04	 
07	 5	 1	 68	 75	 53	 -22	 1.820000e+00	 5	 65	 6.936349e+04	 6.936552e+04	 6.936836e+04	 6.937181e+04	 NaN	 6.930806e+04	 
07	 6	 1	 93	 50	 74	 24	 2.150000e+00	 5	 65	 6.937283e+04	 6.937506e+04	 6.937821e+04	 6.938223e+04	 NaN	 6.930806e+04	 
07	 7	 1	 70	 59	 42	 -17	 1.830000e+00	 15	 35	 6.938326e+04	 6.938529e+04	 6.938813e+04	 6.939054e+04	 NaN	 6.930806e+04	 
07	 8	 1	 33	 44	 37	 -7	 2.620000e+00	 15	 35	 6.939155e+04	 6.939647e+04	 6.940009e+04	 6.940390e+04	 NaN	 6.930806e+04	 
07	 9	 1	 42	 30	 43	 13	 2.230000e+00	 15	 35	 6.940492e+04	 6.940656e+04	 6.940979e+04	 6.941203e+04	 NaN	 6.930806e+04	 
07	 10	 1	 68	 44	 35	 -9	 2.250000e+00	 15	 35	 6.941306e+04	 6.941532e+04	 6.941858e+04	 6.942144e+04	 NaN	 6.930806e+04	 
07	 11	 1	 73	 51	 35	 -16	 1.970000e+00	 15	 35	 6.942246e+04	 6.942613e+04	 6.942911e+04	 6.943166e+04	 NaN	 6.930806e+04	 
07	 12	 1	 68	 16	 58	 42	 2.290000e+00	 5	 65	 6.943267e+04	 6.943782e+04	 6.944111e+04	 6.944459e+04	 NaN	 6.930806e+04	 
