subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
07	 13	 1	 59	 69	 62	 -7	 2.400000e+00	 5	 65	 6.944561e+04	 6.944816e+04	 6.945156e+04	 6.945415e+04	 NaN	 6.930806e+04	 
07	 14	 1	 76	 49	 66	 17	 2.690000e+00	 5	 65	 6.945517e+04	 6.946077e+04	 6.946446e+04	 6.946668e+04	 NaN	 6.930806e+04	 
07	 15	 1	 89	 62	 47	 -15	 2.040000e+00	 5	 65	 6.946770e+04	 6.946959e+04	 6.947264e+04	 6.947471e+04	 NaN	 6.930806e+04	 
07	 16	 1	 75	 32	 68	 36	 2.320000e+00	 5	 65	 6.947573e+04	 6.948125e+04	 6.948457e+04	 6.948698e+04	 NaN	 6.930806e+04	 
07	 17	 1	 13	 63	 31	 -32	 2.530000e+00	 15	 35	 6.948800e+04	 6.949049e+04	 6.949403e+04	 6.949671e+04	 NaN	 6.930806e+04	 
07	 18	 1	 46	 33	 29	 -4	 1.690000e+00	 15	 35	 6.949774e+04	 6.950089e+04	 6.950359e+04	 6.950593e+04	 NaN	 6.930806e+04	 
07	 19	 1	 86	 32	 34	 2	 2.890000e+00	 15	 35	 6.950696e+04	 6.950857e+04	 6.951246e+04	 6.951513e+04	 NaN	 6.930806e+04	 
07	 20	 1	 36	 34	 28	 -6	 2.030000e+00	 15	 35	 6.951616e+04	 6.952271e+04	 6.952574e+04	 6.952799e+04	 NaN	 6.930806e+04	 
07	 21	 1	 37	 28	 35	 7	 1.900000e+00	 15	 35	 6.952902e+04	 6.953339e+04	 6.953629e+04	 6.953876e+04	 NaN	 6.930806e+04	 
07	 22	 1	 26	 37	 31	 -6	 2.200000e+00	 15	 35	 6.953978e+04	 6.954726e+04	 6.955048e+04	 6.955370e+04	 NaN	 6.930806e+04	 
07	 23	 1	 50	 52	 50	 -2	 2.090000e+00	 5	 65	 6.955473e+04	 6.955633e+04	 6.955942e+04	 6.956178e+04	 NaN	 6.930806e+04	 
07	 24	 1	 21	 60	 64	 4	 2.400000e+00	 5	 65	 6.956279e+04	 6.956465e+04	 6.956806e+04	 6.957157e+04	 NaN	 6.930806e+04	 
07	 25	 1	 88	 69	 43	 -26	 2.380000e+00	 5	 65	 6.957258e+04	 6.957886e+04	 6.958224e+04	 6.958448e+04	 NaN	 6.930806e+04	 
07	 26	 1	 81	 36	 70	 34	 2.540000e+00	 5	 65	 6.958551e+04	 6.958675e+04	 6.959030e+04	 6.959267e+04	 NaN	 6.930806e+04	 
07	 27	 1	 30	 54	 65	 11	 2	 15	 35	 6.959369e+04	 6.960141e+04	 6.960441e+04	 6.960654e+04	 NaN	 6.930806e+04	 
07	 28	 1	 83	 58	 25	 -33	 2.570000e+00	 15	 35	 6.960756e+04	 6.961068e+04	 6.961426e+04	 6.961785e+04	 NaN	 6.930806e+04	 
07	 29	 1	 59	 27	 33	 6	 2.930000e+00	 15	 35	 6.961887e+04	 6.962694e+04	 6.963088e+04	 6.963350e+04	 NaN	 6.930806e+04	 
07	 30	 1	 4	 29	 39	 10	 2.610000e+00	 15	 35	 6.963452e+04	 6.963888e+04	 6.964250e+04	 6.964501e+04	 NaN	 6.930806e+04	 
07	 31	 1	 91	 32	 36	 4	 2.750000e+00	 15	 35	 6.964603e+04	 6.964713e+04	 6.965089e+04	 6.965342e+04	 NaN	 6.930806e+04	 
07	 32	 1	 89	 35	 45	 10	 2.240000e+00	 15	 35	 6.965443e+04	 6.965624e+04	 6.965949e+04	 6.966189e+04	 NaN	 6.930806e+04	 
07	 33	 1	 82	 37	 36	 -1	 2.450000e+00	 5	 65	 6.966292e+04	 6.966582e+04	 6.966928e+04	 6.967266e+04	 NaN	 6.930806e+04	 
07	 34	 1	 21	 21	 72	 51	 1.390000e+00	 5	 65	 6.967368e+04	 6.967608e+04	 6.967848e+04	 6.968067e+04	 NaN	 6.930806e+04	 
07	 35	 1	 63	 72	 80	 8	 1.900000e+00	 5	 65	 6.968169e+04	 6.968291e+04	 6.968581e+04	 6.968885e+04	 NaN	 6.930806e+04	 
07	 36	 1	 60	 87	 56	 -31	 1.830000e+00	 5	 65	 6.968986e+04	 6.969174e+04	 6.969458e+04	 6.969705e+04	 NaN	 6.930806e+04	 
07	 37	 1	 30	 48	 83	 35	 2.450000e+00	 5	 65	 6.969807e+04	 6.970267e+04	 6.970613e+04	 6.970892e+04	 NaN	 6.930806e+04	 
07	 38	 1	 74	 72	 34	 -38	 1.540000e+00	 5	 65	 6.970995e+04	 6.971196e+04	 6.971451e+04	 6.971850e+04	 NaN	 6.930806e+04	 
07	 39	 1	 59	 36	 30	 -6	 1.950000e+00	 15	 35	 6.971952e+04	 6.972147e+04	 6.972443e+04	 6.972652e+04	 NaN	 6.930806e+04	 
07	 40	 1	 11	 27	 38	 11	 2.270000e+00	 15	 35	 6.972754e+04	 6.973062e+04	 6.973389e+04	 6.973659e+04	 NaN	 6.930806e+04	 
07	 41	 1	 60	 38	 35	 -3	 1.840000e+00	 15	 35	 6.973761e+04	 6.973905e+04	 6.974190e+04	 6.974441e+04	 NaN	 6.930806e+04	 
07	 42	 1	 97	 32	 39	 7	 2.280000e+00	 15	 35	 6.974543e+04	 6.974729e+04	 6.975058e+04	 6.975301e+04	 NaN	 6.930806e+04	 
