subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
77	 1	 1	 75	 43	 77	 34	 1.170000e+00	 15	 35	 8.905882e+02	 8.926384e+02	 8.948551e+02	 8.973882e+02	 NaN	 8.855384e+02	 
77	 2	 1	 41	 85	 60	 -25	 1.010000e+00	 15	 35	 8.984214e+02	 9.009885e+02	 9.030217e+02	 9.070218e+02	 NaN	 8.855384e+02	 
77	 3	 1	 41	 41	 95	 54	 1.560000e+00	 15	 35	 9.080382e+02	 9.143218e+02	 9.169051e+02	 9.199549e+02	 NaN	 8.855384e+02	 
77	 4	 1	 79	 79	 87	 8	 1	 15	 35	 9.209717e+02	 9.253385e+02	 9.273553e+02	 9.298385e+02	 NaN	 8.855384e+02	 
77	 5	 1	 71	 NaN	 53	 NaN	 3.510000e+00	 15	 35	 9.308549e+02	 9.320721e+02	 NaN	 NaN	 9.366052e+02	 8.855384e+02	 
77	 6	 1	 59	 NaN	 74	 NaN	 3.520000e+00	 15	 35	 9.381721e+02	 9.413055e+02	 NaN	 NaN	 9.458384e+02	 8.855384e+02	 
77	 7	 1	 93	 NaN	 42	 NaN	 3.520000e+00	 5	 65	 9.473720e+02	 9.510555e+02	 NaN	 NaN	 9.555887e+02	 8.855384e+02	 
77	 8	 1	 21	 NaN	 37	 NaN	 3.520000e+00	 5	 65	 9.571219e+02	 9.622723e+02	 NaN	 NaN	 9.668053e+02	 8.855384e+02	 
77	 9	 1	 8	 NaN	 43	 NaN	 3.520000e+00	 5	 65	 9.683387e+02	 9.758391e+02	 NaN	 NaN	 9.803723e+02	 8.855384e+02	 
77	 10	 1	 52	 NaN	 35	 NaN	 3.520000e+00	 5	 65	 9.819054e+02	 9.838057e+02	 NaN	 NaN	 9.883387e+02	 8.855384e+02	 
77	 11	 1	 77	 NaN	 31	 NaN	 3.520000e+00	 5	 65	 9.898721e+02	 9.937391e+02	 NaN	 NaN	 9.982721e+02	 8.855384e+02	 
77	 12	 1	 5	 NaN	 29	 NaN	 3.520000e+00	 5	 65	 9.998055e+02	 1.001256e+03	 NaN	 NaN	 1.005789e+03	 8.855384e+02	 
77	 13	 1	 49	 NaN	 35	 NaN	 3.520000e+00	 15	 35	 1.007322e+03	 1.015056e+03	 NaN	 NaN	 1.019589e+03	 8.855384e+02	 
77	 14	 1	 52	 NaN	 58	 NaN	 3.520000e+00	 15	 35	 1.021122e+03	 1.024289e+03	 NaN	 NaN	 1.028822e+03	 8.855384e+02	 
77	 15	 1	 33	 NaN	 62	 NaN	 3.520000e+00	 15	 35	 1.030356e+03	 1.033456e+03	 NaN	 NaN	 1.037989e+03	 8.855384e+02	 
77	 16	 1	 64	 NaN	 66	 NaN	 3.510000e+00	 15	 35	 1.039522e+03	 1.041139e+03	 NaN	 NaN	 1.045672e+03	 8.855384e+02	 
