subid	 trial	 block	 startPred	 prediction	 reward	 PE	 RTpred	 SD	 EV	 BeginITI	 CueOnset	 LogPrediction	 Feedback	 OnsetTooSlow	 BaselineStart	 
01	 1	 1	 37	 96	 42	 -54	 2.270000e+00	 15	 35	 1.437227e+04	 1.437391e+04	 1.437722e+04	 1.437951e+04	 NaN	 1.436716e+04	 
01	 2	 1	 77	 77	 37	 -40	 1.280000e+00	 15	 35	 1.438056e+04	 1.438244e+04	 1.438474e+04	 1.438834e+04	 NaN	 1.436716e+04	 
01	 3	 1	 72	 NaN	 43	 NaN	 3.830000e+00	 15	 35	 1.438937e+04	 1.439091e+04	 NaN	 NaN	 1.439576e+04	 1.436716e+04	 
01	 4	 1	 31	 61	 35	 -26	 1.230000e+00	 15	 35	 1.439736e+04	 1.440542e+04	 1.440767e+04	 1.440994e+04	 NaN	 1.436716e+04	 
01	 5	 1	 76	 50	 31	 -19	 2.460000e+00	 15	 35	 1.441099e+04	 1.441756e+04	 1.442104e+04	 1.442324e+04	 NaN	 1.436716e+04	 
01	 6	 1	 34	 34	 29	 -5	 2.250000e+00	 15	 35	 1.442427e+04	 1.442864e+04	 1.443191e+04	 1.443427e+04	 NaN	 1.436716e+04	 
01	 7	 1	 67	 NaN	 77	 NaN	 3.520000e+00	 5	 65	 1.443531e+04	 1.444092e+04	 NaN	 NaN	 1.444546e+04	 1.436716e+04	 
01	 8	 1	 33	 76	 60	 -16	 1.920000e+00	 5	 65	 1.444702e+04	 1.444952e+04	 1.445246e+04	 1.445586e+04	 NaN	 1.436716e+04	 
01	 9	 1	 41	 54	 95	 41	 2.430000e+00	 5	 65	 1.445689e+04	 1.445876e+04	 1.446221e+04	 1.446567e+04	 NaN	 1.436716e+04	 
01	 10	 1	 9	 9	 87	 78	 2.570000e+00	 5	 65	 1.446671e+04	 1.446961e+04	 1.447319e+04	 1.447572e+04	 NaN	 1.436716e+04	 
01	 11	 1	 55	 55	 53	 -2	 1.870000e+00	 5	 65	 1.447676e+04	 1.447899e+04	 1.448187e+04	 1.448397e+04	 NaN	 1.436716e+04	 
01	 12	 1	 55	 NaN	 74	 NaN	 3.520000e+00	 5	 65	 1.448501e+04	 1.448727e+04	 NaN	 NaN	 1.449181e+04	 1.436716e+04	 
01	 13	 1	 69	 29	 34	 5	 3.200000e+00	 15	 35	 1.449336e+04	 1.449964e+04	 1.450386e+04	 1.450609e+04	 NaN	 1.436716e+04	 
01	 14	 1	 54	 34	 28	 -6	 1.970000e+00	 15	 35	 1.450712e+04	 1.451486e+04	 1.451784e+04	 1.452054e+04	 NaN	 1.436716e+04	 
01	 15	 1	 83	 51	 35	 -16	 2.500000e+00	 15	 35	 1.452157e+04	 1.452672e+04	 1.453024e+04	 1.453262e+04	 NaN	 1.436716e+04	 
01	 16	 1	 54	 34	 31	 -3	 2.180000e+00	 15	 35	 1.453366e+04	 1.453569e+04	 1.453889e+04	 1.454177e+04	 NaN	 1.436716e+04	 
01	 17	 1	 67	 67	 35	 -32	 2.470000e+00	 15	 35	 1.454281e+04	 1.454667e+04	 1.455016e+04	 1.455406e+04	 NaN	 1.436716e+04	 
01	 18	 1	 82	 NaN	 58	 NaN	 3.520000e+00	 5	 65	 1.455509e+04	 1.455619e+04	 NaN	 NaN	 1.456072e+04	 1.436716e+04	 
01	 19	 1	 77	 54	 62	 8	 1.830000e+00	 5	 65	 1.456227e+04	 1.456781e+04	 1.457066e+04	 1.457466e+04	 NaN	 1.436716e+04	 
01	 20	 1	 74	 NaN	 66	 NaN	 3.520000e+00	 5	 65	 1.457569e+04	 1.457766e+04	 NaN	 NaN	 1.458219e+04	 1.436716e+04	 
01	 21	 1	 82	 19	 47	 28	 1.400000e+00	 5	 65	 1.458374e+04	 1.458684e+04	 1.458926e+04	 1.459194e+04	 NaN	 1.436716e+04	 
01	 22	 1	 92	 13	 68	 55	 2.670000e+00	 15	 35	 1.459297e+04	 1.459487e+04	 1.459856e+04	 1.460161e+04	 NaN	 1.436716e+04	 
